f1_predictions,f2_predictions,0_f1_predictions,1_f1_predictions
0.48,0.38748090029974797,0.48,0.48
0.3,0.5697870860807874,0.3,0.5444444444444444
0.11,0.15670352713840885,0.11,0.11
0.07,0.12167318292534224,0.07,0.07
0.27,0.2521656855709491,0.27,0.27
0.04,0.004668264156407892,0.04,0.04
0.06,0.0037528987114567314,0.06,0.06
0.12,0.12898070998160505,0.12,0.12
0.55,0.41194347240551243,0.55,0.55
0.65,0.5778233278739762,0.65,0.65
0.36,0.40829049915260207,0.36,0.36
0.05,0.03008710091715444,0.05,0.05
0.07,0.09874232970716587,0.07,0.07
0.12,0.19725151805784702,0.12,0.12
0.03,0.11204071650022135,0.03,0.03
0.4,0.6903978846478941,0.4,0.6444444444444445
0.21,0.31136400490980654,0.21,0.21
0.15,0.1265740328151183,0.15,0.15
0.11,0.09379007213353596,0.11,0.11
0.52,0.27813026595576795,0.1866666666666667,0.1866666666666667
0.07,0.07216171732289317,0.07,0.07
0.48,0.5008603737094408,0.48,0.48
0.22,0.08166411112972785,0.22,0.22
0.01,0.13229873935371178,0.01,0.01
0.17,0.2685840501569032,0.17,0.17
0.34,0.1143746323398446,0.00666666666666671,0.00666666666666671
0.03,0.10434256321951274,0.03,0.03
0.17,0.15334293823821712,0.17,0.17
0.27,0.21488781671737256,0.27,0.27
0.03,0.035963908347489554,0.03,0.03
0.56,0.6497629502541348,0.56,0.56
0.56,0.19607812931121188,0.22666666666666674,0.22666666666666674
0.67,0.5311048095223101,0.67,0.67
0.64,0.5717918399933972,0.64,0.64
0.02,0.06938884720178753,0.02,0.02
0.24,0.2698687030196388,0.24,0.24
0.08,0.10375762874002611,0.08,0.08
0.3,0.42416340625887394,0.3,0.3
0.07,0.14639038607586746,0.07,0.07
0.49,0.6301859847671321,0.49,0.49
0.02,0.28996184368999256,0.02,0.2644444444444444
0.23,0.1649618784049488,0.23,0.23
0.59,0.6434064180950703,0.59,0.59
0.05,0.056651385849924824,0.05,0.05
0.23,0.2676066430697254,0.23,0.23
0.11,0.15297115581790421,0.11,0.11
0.03,-0.023677025089172354,0.03,0.03
0.05,0.027727653431531135,0.05,0.05
0.48,0.47493186563984063,0.48,0.48
0.23,0.2400626691871721,0.23,0.23
0.0,0.09587893057734162,0.0,0.0
0.27,0.04901618238793504,0.0,0.0
0.14,0.09598096823878344,0.14,0.14
0.23,0.08959521701779041,0.23,0.23
0.04,-0.04256343725865375,0.04,0.04
1.0,0.7461667494675964,0.6666666666666667,0.6666666666666667
0.1,0.1532853062222393,0.1,0.1
0.12,0.29632538872222325,0.12,0.12
0.41,0.22432150263588707,0.41,0.41
0.12,0.11773942177732277,0.12,0.12
0.15,0.2167339415799584,0.15,0.15
0.13,0.08628996869305947,0.13,0.13
0.05,0.003503783406636457,0.05,0.05
0.22,0.34361091009386996,0.22,0.22
0.23,0.505506975790262,0.23,0.47444444444444445
0.45,0.2541459360555663,0.45,0.45
0.24,0.04348448870183805,0.24,0.24
0.27,0.30186152060671023,0.27,0.27
0.13,0.11636260841321203,0.13,0.13
0.11,0.06768165817234442,0.11,0.11
0.08,0.07120576966089609,0.08,0.08
0.1,0.21464383080605376,0.1,0.1
0.16,0.055575791381912654,0.16,0.16
0.22,0.22951725015779006,0.22,0.22
0.10000000000000002,0.21600250692067285,0.10000000000000002,0.10000000000000002
0.4,0.18428105453979007,0.06666666666666671,0.06666666666666671
0.49,0.14735587455157742,0.15666666666666668,0.15666666666666668
0.04,0.08680160698779973,0.04,0.04
0.12,0.12097282243917384,0.12,0.12
0.2,0.36201128066639493,0.2,0.2
1.0,0.7482182671206581,0.6666666666666667,0.6666666666666667
0.03,0.03478495806398557,0.03,0.03
0.09,0.07543191159029039,0.09,0.09
0.06,0.0642978668947839,0.06,0.06
0.01,0.1007436018927825,0.01,0.01
0.01,0.05762022128663441,0.01,0.01
0.13,0.1296417908640631,0.13,0.13
0.07,0.15991887216309303,0.07,0.07
0.07,0.09126892527675112,0.07,0.07
0.04,0.07448830462836714,0.04,0.04
0.05,0.08523615477877136,0.05,0.05
0.05,0.07277342439705875,0.05,0.05
0.05,0.18010102424744595,0.05,0.05
0.03,0.12470885819714538,0.03,0.03
0.03,-0.0011080233370940329,0.03,0.03
0.48,0.5945327966199756,0.48,0.48
0.05,-0.03127330724762156,0.05,0.05
0.13,0.07354439702275861,0.13,0.13
1.0,0.6570868736032885,0.6666666666666667,0.6666666666666667
0.4,0.31362678833654056,0.4,0.4
0.24,0.4934567598866424,0.24,0.48444444444444446
0.0,0.12844656289279774,0.0,0.0
0.45,0.14606814648332425,0.1166666666666667,0.1166666666666667
0.16,0.09516064151266157,0.16,0.16
0.36,0.4156806552435331,0.36,0.36
0.13,0.03006163274172252,0.13,0.13
0.03,0.1732940585224868,0.03,0.03
0.2,0.12645898464624278,0.2,0.2
0.12,0.2882153974025273,0.12,0.12
0.4,0.2802192200366311,0.4,0.4
0.52,0.4108736890117878,0.52,0.52
0.13,0.21808989996187395,0.13,0.13
0.04,0.06454070657530567,0.04,0.04
