f1_predictions,f2_predictions,0_f1_predictions,1_f1_predictions
0.01,0.04357397832220744,0.01,0.01
0.74,0.79670330180062,0.74,0.74
0.11,0.09096514783817783,0.11,0.11
0.43,0.57785291527573,0.43,0.43
0.04,0.1760487440880159,0.04,0.04
0.05,-0.022909996629920076,0.05,0.05
0.03,-0.03604297314795055,0.03,0.03
0.6,0.41412160790871055,0.6,0.6
0.13,0.07895381043387484,0.13,0.13
1.0,0.8947664636226753,1.0,1.0
0.08,0.1806600408161934,0.08,0.08
0.06,0.12562679649008146,0.06,0.06
0.04,0.09745246738695032,0.04,0.04
0.33,0.33207355810779,0.33,0.33
0.18,0.4315731327698578,0.18,0.4022222222222222
0.01,0.07621958987180649,0.01,0.01
0.09,0.3284905835042287,0.09,0.3122222222222222
0.53,0.8288497760409014,0.53,0.7522222222222222
0.67,0.6191942580174395,0.67,0.67
0.41,0.36344413538394826,0.41,0.41
0.59,0.4522110144136492,0.59,0.59
0.29,0.11471052936697404,0.29,0.29
0.04,0.115100421874266,0.04,0.04
0.36,0.3195060026304207,0.36,0.36
0.47,0.454781258241416,0.47,0.47
0.05,0.10299427819244478,0.05,0.05
0.26,0.33901472328121796,0.26,0.26
0.09,0.15351516512817218,0.09,0.09
0.11,0.06097050816107058,0.11,0.11
0.22,0.21194446372404246,0.22,0.22
1.0,0.7672165721112669,0.6444444444444444,0.6444444444444444
1.0,0.9375495872280595,1.0,1.0
0.04,0.11686578166968388,0.04,0.04
0.55,0.2666546618516278,0.19444444444444448,0.19444444444444448
0.64,0.852625368883776,0.64,0.8622222222222222
1.0,0.561011721806903,0.6444444444444444,0.6444444444444444
0.36,0.20897775645451902,0.36,0.36
0.15,0.2928473269855378,0.15,0.15
0.26,0.07747373590708079,0.26,0.26
0.03,0.005571932389729112,0.03,0.03
0.4,0.13976744783385886,0.04444444444444445,0.04444444444444445
0.12,0.11118421483240168,0.12,0.12
0.21,0.341861817162046,0.21,0.21
0.03,0.1626774576330431,0.03,0.03
0.14,0.32709076474014365,0.14,0.14
0.06,0.22174550167569895,0.06,0.06
0.11,0.09661543392929683,0.11,0.11
0.14,0.15751004524465423,0.14,0.14
0.09,0.09954700020424012,0.09,0.09
1.0,0.6126000489880409,0.6444444444444444,0.6444444444444444
0.58,0.42152684118404093,0.58,0.58
0.38,0.5642320207738769,0.38,0.38
1.0,0.2799987779349724,0.6444444444444444,0.6444444444444444
0.14,0.17188395579384352,0.14,0.14
0.1,0.2344495810381458,0.1,0.1
0.12,0.21138975405214508,0.12,0.12
0.49,0.39000999051281876,0.49,0.49
0.23,0.26675337121696485,0.23,0.23
0.05,0.14848336291903763,0.05,0.05
0.13,0.24158929405275043,0.13,0.13
0.12,0.047471837004844614,0.12,0.12
0.09,0.08803980581916987,0.09,0.09
0.06,0.050387703733386635,0.06,0.06
0.34,0.19349215280615878,0.34,0.34
0.37,0.30847595641978837,0.37,0.37
0.03,0.10217300710380492,0.03,0.03
0.43,0.28624924617948344,0.43,0.43
0.6,0.5995431377154213,0.6,0.6
0.31,0.1875015082256988,0.31,0.31
