f1_predictions,f2_predictions,0_f1_predictions,1_f1_predictions
0.49,0.2774820150534512,0.17888888888888888,0.17888888888888888
0.27,0.6383502608680582,0.27,0.4922222222222222
0.06,0.09258895842372944,0.06,0.06
0.25,0.29787906131411085,0.25,0.25
0.6999999999999998,0.41490817087894294,0.38888888888888873,0.38888888888888873
0.08,-0.04202434308916547,0.08,0.08
0.16,0.2004269974033796,0.16,0.16
0.02,0.06750779157624562,0.02,0.02
0.07,0.09456870919581106,0.07,0.07
0.16,0.12543724904293868,0.16,0.16
0.25,0.4748467036059849,0.25,0.4722222222222222
0.08,0.10782765091324367,0.08,0.08
0.35,0.45596094083475835,0.35,0.35
0.87,0.6171118753924105,0.5588888888888889,0.5588888888888889
0.45,0.2396672328607264,0.1388888888888889,0.1388888888888889
0.14,0.08177062424253803,0.14,0.14
0.12,0.10221970790356305,0.12,0.12
0.15,-0.1484234105946985,0.0,0.0
0.08,-0.05825384334078032,0.08,0.08
0.54,1.0358827252398801,0.54,0.7622222222222222
0.05000000000000001,-0.03644377923494946,0.05000000000000001,0.05000000000000001
0.03,0.1629847408186538,0.03,0.03
0.22,0.353062943808949,0.22,0.22
0.09,0.22701947236952866,0.09,0.09
0.12,0.04684130510345258,0.12,0.12
0.16,0.3224298869229929,0.16,0.16
0.43,0.6044571662885216,0.43,0.43
0.33,0.2862082211453634,0.33,0.33
0.06,0.06733975083777424,0.06,0.06
0.02,-0.018821387206141182,0.02,0.02
0.28,0.27701214603051877,0.28,0.28
0.15,-0.018225144005742044,0.15,0.15
0.07,0.11439742989200066,0.07,0.07
0.1,0.13216417437582734,0.1,0.1
0.05,0.09520249179318738,0.05,0.05
0.93,0.33723867418218884,0.6188888888888889,0.6188888888888889
0.21,0.20245898555170566,0.21,0.21
0.1,0.18693907360060968,0.1,0.1
0.19,0.29297630739400216,0.19,0.19
0.14,0.24081001868562055,0.14,0.14
0.74,0.428921766840055,0.4288888888888889,0.4288888888888889
0.02,0.05878732443239515,0.02,0.02
0.09,0.012430540854293737,0.09,0.09
0.22,0.15922209843151028,0.22,0.22
0.06,0.16908960229051914,0.06,0.06
0.02,0.04321865053583085,0.02,0.02
0.7,0.3922872206815178,0.38888888888888884,0.38888888888888884
0.02,0.18038107888296306,0.02,0.02
0.05000000000000001,0.1630643336122493,0.05000000000000001,0.05000000000000001
0.08,0.08428329086810726,0.08,0.08
0.07,0.12772034969543528,0.07,0.07
0.02,0.0497147113914794,0.02,0.02
0.12,0.44509015499896976,0.12,0.3422222222222222
0.01,0.12640204197137578,0.01,0.01
0.04,0.10138097898524112,0.04,0.04
0.14,0.42471399165445534,0.14,0.3622222222222222
0.25,0.38495018689795213,0.25,0.25
0.19,0.2923020198455853,0.19,0.19
0.42,0.4544722914991789,0.42,0.42
0.03,0.09703779949175834,0.03,0.03
0.59,0.1800708934581922,0.27888888888888885,0.27888888888888885
0.8,0.4489995879887735,0.48888888888888893,0.48888888888888893
0.1,0.011473406176481404,0.1,0.1
0.13,0.12197406300593967,0.13,0.13
1.0,0.5986083041912005,0.6888888888888889,0.6888888888888889
0.15,0.1340921534187732,0.15,0.15
0.18,0.14739807276263195,0.18,0.18
0.03,0.044978902532485765,0.03,0.03
0.02,0.06843710206318576,0.02,0.02
0.21,0.274245931815317,0.21,0.21
0.53,0.655422196052685,0.53,0.53
0.05,0.03464424051007731,0.05,0.05
0.34,0.835626172084706,0.34,0.5622222222222222
0.42,0.4091808108199827,0.42,0.42
0.33,0.40556078322956224,0.33,0.33
0.08,0.026489125230182847,0.08,0.08
0.14,0.10138666504130411,0.14,0.14
0.18,0.3991417115162044,0.18,0.4022222222222222
0.1,0.06270402334517708,0.1,0.1
0.46,0.3102321498710843,0.46,0.46
0.07,0.007634345963166367,0.07,0.07
0.19,0.1442982275476537,0.19,0.19
0.52,0.5624407578696866,0.52,0.52
0.94,0.6481760839495095,0.6288888888888888,0.6288888888888888
0.14,0.20957680677713197,0.14,0.14
0.37,0.11129872025492346,0.05888888888888888,0.05888888888888888
0.02,0.09810215580479759,0.02,0.02
1.0,0.8914808722978671,1.0,1.0
0.24,0.30226515317562036,0.24,0.24
0.03,0.012799230933515648,0.03,0.03
0.09,-0.05773117701824071,0.09,0.09
0.02,0.027448429888586895,0.02,0.02
0.74,0.5516451828226425,0.74,0.74
0.78,0.48190564059037044,0.4688888888888889,0.4688888888888889
0.15,0.2338387469174682,0.15,0.15
0.41,0.3861666186309193,0.41,0.41
0.25,0.4272680590052772,0.25,0.25
0.05,0.06960080468255397,0.05,0.05
0.09,0.16936501256079783,0.09,0.09
0.12,0.42344620271987266,0.12,0.3422222222222222
0.14,0.2305589411841832,0.14,0.14
0.24,0.21254746396437138,0.24,0.24
0.02,0.025540763111185305,0.02,0.02
