f1_predictions,f2_predictions,0_f1_predictions,1_f1_predictions
0.14,0.22229826316568982,0.14,0.14
0.19,0.06759128206193357,0.19,0.19
0.08,-0.03852968004726684,0.08,0.08
0.06,0.0643104661884096,0.06,0.06
0.09,0.11394637133075061,0.09,0.09
0.03,0.11274877905762093,0.03,0.03
0.57,0.477298107276123,0.57,0.57
0.04,0.05935878168603484,0.04,0.04
0.37,0.3035337097072719,0.37,0.37
0.17,0.09553181275389716,0.17,0.17
0.05,0.02881691008226006,0.05,0.05
0.17,0.3128444997723491,0.17,0.17
0.03,-0.05298740322204623,0.03,0.03
0.09,-0.03667412054613514,0.09,0.09
0.02,0.1522996388997388,0.02,0.02
0.41,0.4200680537732884,0.41,0.41
0.05000000000000001,0.0780431436780464,0.05000000000000001,0.05000000000000001
0.12,0.1083573536904428,0.12,0.12
0.09,-0.0008111488594178817,0.09,0.09
0.23,0.38366190921192944,0.23,0.23
0.08,0.10306257313012179,0.08,0.08
0.21,0.2585611724644931,0.21,0.21
0.03,-0.015419215261597202,0.03,0.03
1.0,0.41983821593786563,0.6888888888888889,0.6888888888888889
0.24,0.30513390506842347,0.24,0.24
0.16,0.02843980294758247,0.16,0.16
0.18,0.26101715162701894,0.18,0.18
0.27,0.23331009982871634,0.27,0.27
0.69,0.5290967886536281,0.69,0.69
0.03,0.0696477731185926,0.03,0.03
0.22,0.22115361015662993,0.22,0.22
0.37,0.28957542738427905,0.37,0.37
0.09,0.19888991791786814,0.09,0.09
0.4,0.6410686202947833,0.4,0.6666666666666667
0.26,0.29417589292893237,0.26,0.26
0.05,0.06172821559963809,0.05,0.05
0.17,0.294974714280137,0.17,0.17
0.04,0.018521942959439514,0.04,0.04
0.18,0.07736210962915688,0.18,0.18
0.05000000000000001,0.16820106479827118,0.05000000000000001,0.05000000000000001
0.02,0.02917074937891634,0.02,0.02
0.11,0.498581187162188,0.11,0.37666666666666665
0.07,0.3395922976255653,0.07,0.33666666666666667
0.14,0.18043223413362525,0.14,0.14
0.69,0.5557170417872619,0.69,0.69
0.02,0.14984661206818606,0.02,0.02
0.32,0.21866994880400323,0.32,0.32
0.66,0.3024869891986487,0.3488888888888889,0.3488888888888889
0.01,0.018455011715684255,0.01,0.01
0.38,0.5053659468127578,0.38,0.38
0.14,0.08500661997585307,0.14,0.14
0.06,-0.016807460086587594,0.06,0.06
0.02,-0.04228713981451673,0.02,0.02
0.14,0.21689852070166793,0.14,0.14
0.62,0.4352643490575475,0.62,0.62
0.18,-0.01393840388247089,0.18,0.18
0.14,0.19086794459737133,0.14,0.14
0.03,-0.023888888440731865,0.03,0.03
0.12,0.16444735297073454,0.12,0.12
0.29,0.29090766485948566,0.29,0.29
0.06,0.1592920602642766,0.06,0.06
0.45,0.17250115103111502,0.1388888888888889,0.1388888888888889
0.16,0.16360297377016247,0.16,0.16
0.04,0.11064974705045263,0.04,0.04
0.3,0.2839452855570894,0.3,0.3
0.59,0.24748506817823493,0.27888888888888885,0.27888888888888885
0.47,0.3907732585128122,0.47,0.47
0.19,0.3442440127543857,0.19,0.19
0.31,0.25046884054230745,0.31,0.31
0.28,0.3426047546491783,0.28,0.28
0.09,0.3096331715254722,0.09,0.3566666666666667
0.06,0.18250950553175188,0.06,0.06
0.34,0.22391589059252143,0.34,0.34
0.02,0.01971537040969029,0.02,0.02
0.07,0.02280184516360015,0.07,0.07
0.09000000000000001,0.2394228843139675,0.09000000000000001,0.09000000000000001
0.0,0.09409320582909825,0.0,0.0
0.21,0.23638783313052575,0.21,0.21
0.47,0.33905884130591213,0.47,0.47
0.09000000000000001,0.026482112941407343,0.09000000000000001,0.09000000000000001
0.05000000000000001,0.076937062778555,0.05000000000000001,0.05000000000000001
0.24,0.22867460800918757,0.24,0.24
0.39,0.19182227330713778,0.39,0.39
0.07,0.03534201838003609,0.07,0.07
0.09000000000000001,0.20768005239995604,0.09000000000000001,0.09000000000000001
0.45,0.4664616272862092,0.45,0.45
0.19,0.5670390191692777,0.19,0.45666666666666667
0.08,-0.015446814759555144,0.08,0.08
0.21,0.24618319649215553,0.21,0.21
0.14,0.14282727487701974,0.14,0.14
0.03,-0.049367995828953876,0.03,0.03
0.67,0.5355175574409684,0.67,0.67
0.59,0.45919553859682766,0.59,0.59
0.55,0.23907284644231447,0.23888888888888893,0.23888888888888893
0.14,0.269272204318997,0.14,0.14
0.23,0.36952570331911905,0.23,0.23
0.09,0.1432427858415069,0.09,0.09
0.07,0.5023481790940675,0.07,0.33666666666666667
0.21,0.4550657021616593,0.21,0.4766666666666667
0.3,0.5036635372402957,0.3,0.5666666666666667
0.23,0.3180815242806551,0.23,0.23
0.1,0.27602973511158774,0.1,0.1
0.24,0.1649144572031625,0.24,0.24
0.51,0.5465758648520811,0.51,0.51
0.75,0.5881009254704835,0.75,0.75
0.02,-0.016505654567268296,0.02,0.02
0.07,0.13991311227973113,0.07,0.07
0.82,0.7666497857895374,0.82,0.82
0.14,0.20440941288447306,0.14,0.14
0.37,0.387065300235463,0.37,0.37
0.21,0.27308170430588913,0.21,0.21
0.04,0.09492855222328997,0.04,0.04
0.2,0.26142307960739414,0.2,0.2
0.27,0.156329826658461,0.27,0.27
0.16,0.256972932291634,0.16,0.16
0.05,-0.008347965234808435,0.05,0.05
0.81,0.49890110818569533,0.49888888888888894,0.49888888888888894
0.09,0.15448383224765896,0.09,0.09
